Wavelength (nm),IXON-L-888 (BB-VS-NR)W Window Transmission
200,29.42
201.17,30.16
202.33,33.84
203.5,37.87
204.67,42.27
205.83,45.53
207,48.31
208.17,51.2
209.33,54.03
210.5,56.46
211.67,58.94
212.83,61.9
214,65.1
215.17,68.36
216.33,71.64
217.5,74.35
218.67,76.22
219.83,77.99
221,79.66
222.17,80.99
223.33,80.82
224.5,80.61
225.67,79.96
226.83,79.03
228,78.16
229.17,77.05
230.33,76.05
231.5,75.17
232.67,74.41
233.83,73.91
235,73.59
236.17,73.4
237.33,73.36
238.5,73.55
239.67,73.85
240.83,74.28
242,74.82
243.17,75.45
244.33,76.12
245.5,76.89
246.67,77.74
247.83,78.65
249,79.63
250.17,80.6
251.33,81.6
252.5,82.63
253.67,83.7
254.83,84.7
256,85.65
257.17,86.57
258.33,87.42
259.5,88.15
260.67,88.81
261.83,89.39
263,89.88
264.17,90.36
265.33,90.73
266.5,91.01
267.67,91.18
268.83,91.25
270,91.21
271.17,91.09
272.33,90.9
273.5,90.62
274.67,90.29
275.83,89.93
277,89.54
278.17,89.11
279.33,88.65
280.5,88.16
281.67,87.65
282.83,87.12
284,86.59
285.17,86.07
286.33,85.55
287.5,85.05
288.67,84.55
289.83,84.06
291,83.6
292.17,83.16
293.33,82.75
294.5,82.37
295.67,82.02
296.83,81.71
298,81.42
299.17,81.16
300.33,80.94
301.5,80.75
302.67,80.59
303.83,80.47
305,80.37
306.17,80.3
307.33,80.27
308.5,80.26
309.67,80.28
310.83,80.32
312,80.39
313.17,80.49
314.33,80.6
315.5,80.74
316.67,80.91
317.83,81.09
319,81.29
320.17,81.5
321.33,81.74
322.5,81.98
323.67,82.23
324.83,82.49
326,82.77
327.17,83.05
328.33,83.35
329.5,83.65
330.67,83.96
331.83,84.27
333,84.59
334.17,84.92
335.33,85.25
336.5,85.59
337.67,85.94
338.83,86.28
340,86.62
341.17,86.96
342.33,87.3
343.5,87.64
344.67,87.97
345.83,88.3
347,88.63
348.17,88.95
349.33,89.27
350.5,89.58
351.67,89.89
352.83,90.19
354,90.48
355.17,90.76
356.33,91.04
357.5,91.31
358.67,91.58
359.83,91.83
361,92.08
362.17,92.32
363.33,92.56
364.5,92.78
365.67,93
366.83,93.21
368,93.41
369.17,93.61
370.33,93.79
371.5,93.97
372.67,94.15
373.83,94.31
375,94.47
376.17,94.62
377.33,94.77
378.5,94.9
379.67,95.04
380.83,95.16
382,95.28
383.17,95.4
384.33,95.51
385.5,95.61
386.67,95.71
387.83,95.81
389,95.9
390.17,95.99
391.33,96.07
392.5,96.15
393.67,96.22
394.83,96.29
396,96.36
397.17,96.42
398.33,96.48
399.5,96.54
400.67,96.6
401.83,96.65
403,96.7
404.17,96.75
405.33,96.79
406.5,96.84
407.67,96.88
408.83,96.92
410,96.96
411.17,97
412.33,97.03
413.5,97.07
414.67,97.1
415.83,97.13
417,97.16
418.17,97.19
419.33,97.22
420.5,97.25
421.67,97.27
422.83,97.3
424,97.33
425.17,97.35
426.33,97.37
427.5,97.4
428.67,97.42
429.83,97.44
431,97.46
432.17,97.48
433.33,97.5
434.5,97.52
435.67,97.54
436.83,97.56
438,97.58
439.17,97.6
440.33,97.62
441.5,97.64
442.67,97.65
443.83,97.67
445,97.69
446.17,97.7
447.33,97.72
448.5,97.73
449.67,97.75
450.83,97.76
452,97.78
453.17,97.79
454.33,97.81
455.5,97.82
456.67,97.83
457.83,97.84
459,97.86
460.17,97.87
461.33,97.88
462.5,97.89
463.67,97.9
464.83,97.91
466,97.92
467.17,97.93
468.33,97.94
469.5,97.95
470.67,97.96
471.83,97.97
473,97.98
474.17,97.98
475.33,97.99
476.5,98
477.67,98
478.83,98.01
480,98.02
481.17,98.02
482.33,98.03
483.5,98.03
484.67,98.04
485.83,98.04
487,98.05
488.17,98.05
489.33,98.05
490.5,98.06
491.67,98.06
492.83,98.06
494,98.06
495.17,98.07
496.33,98.07
497.5,98.07
498.67,98.07
499.83,98.07
501,98.07
502.17,98.07
503.33,98.07
504.5,98.07
505.67,98.07
506.83,98.07
508,98.07
509.17,98.07
510.33,98.07
511.5,98.07
512.67,98.07
513.83,98.06
515,98.06
516.17,98.06
517.33,98.06
518.5,98.06
519.67,98.05
520.83,98.05
522,98.05
523.17,98.05
524.33,98.04
525.5,98.04
526.67,98.04
527.83,98.04
529,98.03
530.17,98.03
531.33,98.03
532.5,98.02
533.67,98.02
534.83,98.02
536,98.01
537.17,98.01
538.33,98.01
539.5,98
540.67,98
541.83,98
543,98
544.17,97.99
545.33,97.99
546.5,97.99
547.67,97.98
548.83,97.98
550,97.98
551.17,97.98
552.33,97.97
553.5,97.97
554.67,97.97
555.83,97.96
557,97.96
558.17,97.96
559.33,97.96
560.5,97.95
561.67,97.95
562.83,97.95
564,97.95
565.17,97.95
566.33,97.94
567.5,97.94
568.67,97.94
569.83,97.94
571,97.94
572.17,97.94
573.33,97.93
574.5,97.93
575.67,97.93
576.83,97.93
578,97.93
579.17,97.93
580.33,97.93
581.5,97.93
582.67,97.92
583.83,97.92
585,97.92
586.17,97.92
587.33,97.92
588.5,97.92
589.67,97.92
590.83,97.92
592,97.92
593.17,97.92
594.33,97.92
595.5,97.92
596.67,97.92
597.83,97.92
599,97.92
600.17,97.92
601.33,97.92
602.5,97.92
603.67,97.92
604.83,97.92
606,97.92
607.17,97.92
608.33,97.92
609.5,97.92
610.67,97.92
611.83,97.92
613,97.92
614.17,97.92
615.33,97.92
616.5,97.92
617.67,97.92
618.83,97.92
620,97.92
621.17,97.92
622.33,97.92
623.5,97.92
624.67,97.92
625.83,97.92
627,97.92
628.17,97.92
629.33,97.92
630.5,97.92
631.67,97.92
632.83,97.92
634,97.92
635.17,97.91
636.33,97.91
637.5,97.91
638.67,97.91
639.83,97.91
641,97.91
642.17,97.91
643.33,97.91
644.5,97.91
645.67,97.91
646.83,97.9
648,97.9
649.17,97.9
650.33,97.9
651.5,97.9
652.67,97.89
653.83,97.89
655,97.89
656.17,97.89
657.33,97.88
658.5,97.88
659.67,97.88
660.83,97.87
662,97.87
663.17,97.87
664.33,97.86
665.5,97.86
666.67,97.86
667.83,97.85
669,97.85
670.17,97.84
671.33,97.84
672.5,97.83
673.67,97.83
674.83,97.82
676,97.81
677.17,97.81
678.33,97.8
679.5,97.8
680.67,97.79
681.83,97.78
683,97.78
684.17,97.77
685.33,97.76
686.5,97.75
687.67,97.75
688.83,97.74
690,97.73
691.17,97.72
692.33,97.71
693.5,97.7
694.67,97.69
695.83,97.69
697,97.68
698.17,97.67
699.33,97.66
700.5,97.65
701.67,97.64
702.83,97.62
704,97.61
705.17,97.6
706.33,97.59
707.5,97.58
708.67,97.57
709.83,97.56
711,97.54
712.17,97.53
713.33,97.52
714.5,97.51
715.67,97.49
716.83,97.48
718,97.47
719.17,97.45
720.33,97.44
721.5,97.42
722.67,97.41
723.83,97.39
725,97.38
726.17,97.36
727.33,97.35
728.5,97.33
729.67,97.31
730.83,97.3
732,97.28
733.17,97.26
734.33,97.25
735.5,97.23
736.67,97.21
737.83,97.19
739,97.18
740.17,97.16
741.33,97.14
742.5,97.12
743.67,97.1
744.83,97.08
746,97.06
747.17,97.04
748.33,97.02
749.5,97
750.67,96.98
751.83,96.96
753,96.94
754.17,96.92
755.33,96.9
756.5,96.88
757.67,96.86
758.83,96.83
760,96.81
761.17,96.79
762.33,96.77
763.5,96.74
764.67,96.72
765.83,96.7
767,96.67
768.17,96.65
769.33,96.63
770.5,96.6
771.67,96.58
772.83,96.55
774,96.53
775.17,96.5
776.33,96.48
777.5,96.45
778.67,96.43
779.83,96.4
781,96.37
782.17,96.35
783.33,96.32
784.5,96.29
785.67,96.27
786.83,96.24
788,96.21
789.17,96.19
790.33,96.16
791.5,96.13
792.67,96.1
793.83,96.07
795,96.05
796.17,96.02
797.33,95.99
798.5,95.96
799.67,95.93
800.83,95.9
802,95.87
803.17,95.84
804.33,95.81
805.5,95.78
806.67,95.75
807.83,95.72
809,95.69
810.17,95.66
811.33,95.63
812.5,95.6
813.67,95.57
814.83,95.54
816,95.51
817.17,95.48
818.33,95.44
819.5,95.41
820.67,95.38
821.83,95.35
823,95.32
824.17,95.28
825.33,95.25
826.5,95.22
827.67,95.19
828.83,95.15
830,95.12
831.17,95.09
832.33,95.06
833.5,95.02
834.67,94.99
835.83,94.96
837,94.92
838.17,94.89
839.33,94.85
840.5,94.82
841.67,94.79
842.83,94.75
844,94.72
845.17,94.68
846.33,94.65
847.5,94.62
848.67,94.58
849.83,94.55
851,94.51
852.17,94.48
853.33,94.44
854.5,94.41
855.67,94.37
856.83,94.34
858,94.3
859.17,94.27
860.33,94.23
861.5,94.2
862.67,94.16
863.83,94.13
865,94.09
866.17,94.05
867.33,94.02
868.5,93.98
869.67,93.95
870.83,93.91
872,93.88
873.17,93.84
874.33,93.8
875.5,93.77
876.67,93.73
877.83,93.7
879,93.66
880.17,93.62
881.33,93.59
882.5,93.55
883.67,93.51
884.83,93.48
886,93.44
887.17,93.41
888.33,93.37
889.5,93.33
890.67,93.3
891.83,93.26
893,93.22
894.17,93.19
895.33,93.15
896.5,93.11
897.67,93.08
898.83,93.04
900,93